gene_id,CD0_1_fpkm,CD0_2_fpkm,CD0_3_fpkm,CD3_1_fpkm,CD3_2_fpkm,CD3_3_fpkm,CD4_1_fpkm,CD4_2_fpkm,CD4_3_fpkm,ND0_1_fpkm,ND0_2_fpkm,ND0_3_fpkm,ND3_1_fpkm,ND3_2_fpkm,ND4_1_fpkm,ND4_2_fpkm,ND4_3_fpkm
Atu0142,175.5854212,118.5624998,130.4030946,63.49790692,67.38768628,70.0799942,545.7857879,108.4106082,132.1783649,79.46861862,267.0456733,192.7457844,294.911825,286.1896538,218.8650168,197.3408744,194.9347844
Atu0634,57.85644857,46.55384201,42.08575643,37.86995903,49.17341659,39.33693733,72.96387477,36.04339076,48.47319859,52.20873195,75.82219862,53.03446822,110.830899,99.68389712,105.3640081,93.85295327,77.58739671
Atu0140,50.99431964,32.2144954,30.40557627,19.87293515,21.47377946,30.30732217,94.3354445,39.86094867,16.84799828,23.40998131,93.44963294,58.54596792,64.12483879,72.05671345,26.10798054,58.58080388,38.38422
Atu0637,493.7008327,262.5029632,297.6633049,114.2884125,186.6937673,159.6650114,78.28757578,180.8760545,281.0689368,229.1892936,260.8933757,189.0497787,122.8865169,197.0263934,354.0525491,276.8300649,245.8943136
Atu0146,4.014242111,6.299189671,3.69585893,7.679710534,4.346750515,5.085465923,14.58202125,3.76539583,1.989396407,6.778371301,7.356298789,6.289133041,0.841311444,10.92319009,2.449581573,18.63400458,2.854357672
Atu0631,11.68619825,12.75694018,10.49290475,19.87293515,16.87225529,10.52780665,9.43354445,8.769408708,15.44399842,10.7482349,11.67543562,9.067227523,6.430753064,5.62393861,7.451358771,6.575396354,7.896600985
Atu0144,46.00782555,39.30516704,42.93760432,341.8681953,129.9619664,216.2468393,324.5649212,82.55884775,71.37631703,19.54774702,20.20220793,25.07154388,21.67120332,27.97719461,117.5812666,35.45382629,71.58336304
Atu0633,130.5750553,108.1631802,106.8751401,43.59120248,106.3363602,70.47068407,146.8871897,65.02195725,96.38059503,126.8051412,126.2465803,101.7071875,106.6008421,102.5654373,119.610463,97.84688721,115.0097286
Atu0148,1.859612787,1.894665599,1.878440863,3.794831839,6.443675386,0,1.801380347,5.58186819,0,1.068972273,0.484669602,1.997804286,14.58229809,5.201789952,2.81610188,3.13900831,2.923467291
Atu0149,68.23465448,49.65774649,36.59351773,29.47695586,9.533765069,30.98332192,26.65239324,6.194006151,41.45192141,72.75369656,66.33126913,51.56332037,38.75036727,58.96380804,43.09115237,52.7905737,43.70958257
