Day	Accession - SRX	Accession - SRR
0	SRX12258582	SRR15969054
0	SRX12258581	SRR15969055
0	SRX12258580	SRR15969056
0	 SRX12258579	SRR15969057
0	SRX12258578	SRR15969058
4	SRX12258577	SRR15969059
4	SRX12258576	SRR15969060
4	SRX12258575	SRR15969061
3	 SRX12258574	SRR15969062
3	SRX12258573	SRR15969063
3	SRX12258572	SRR15969064
0	SRX12258571	SRR15969065
4	SRX12258570	SRR15969066
4	SRX12258569	SRR15969067
4	SRX12258568	SRR15969068
3	SRX12258567	SRR15969069
3	SRX12258566	SRR15969070
3	SRX12258565	SRR15969071
