GeneID	old	Name
ATU_RS00005	Atu0001	Atu0001
ATU_RS00010	Atu0002	maf
ATU_RS00015	Atu0003	aroE
ATU_RS00020	Atu0004	coaE
ATU_RS00025	Atu0005	dnaQ
ATU_RS00030	Atu0006	secB
ATU_RS00035	Atu0007	fxsA
ATU_RS00040	Atu0008	Atu0008
ATU_RS00045	Atu0009	mltA
ATU_RS00050	Atu0010	Atu0010
ATU_RS00055	Atu0011	Atu0011
ATU_RS00060	Atu0012	gyrB
ATU_RS00065	Atu0013	Atu0013
ATU_RS00070	Atu0014	hpcE
ATU_RS00075	Atu0015	depA
ATU_RS00080	Atu0016	Atu0016
ATU_RS00085	Atu0017	trpF
ATU_RS00090	Atu0018	trpB
ATU_RS00095	Atu0019	trpA
ATU_RS00100	Atu0020	accD
ATU_RS00105	Atu0021	folC
ATU_RS00110	Atu0022	trxA
ATU_RS00115	Atu0023	uvrD
ATU_RS00120	Atu0024	Atu0024
ATU_RS00125	Atu0025	Atu0025
ATU_RS00130	Atu0026	Atu0026
ATU_RS00135	Atu0027	Atu0027
ATU_RS00140	Atu0029	ahcY
ATU_RS00145	Atu0030	ptsH
ATU_RS00150	Atu0031	Atu0031
ATU_RS00155	Atu0032	Atu0032
ATU_RS00160	Atu0033	chvG
ATU_RS00165	Atu0034	chvI
ATU_RS00170	Atu0035	pckA
ATU_RS00175	Atu0036	Atu0036
ATU_RS00180	Atu0037	panK
ATU_RS00185	Atu0038	hisE
ATU_RS00190	Atu0039	hisF
ATU_RS00195	Atu0040	hisA
ATU_RS00200	Atu0041	hisH
ATU_RS00205	Atu8115	Atu8115
ATU_RS00210	Atu0043	hisB
ATU_RS00215	Atu0044	hslV
ATU_RS00220	Atu0045	hslU
ATU_RS00225	Atu0046	Atu0046
ATU_RS00230	Atu0047	glcB
ATU_RS00235	Atu0048	Atu0048
ATU_RS00240	Atu0049	Atu0049
ATU_RS00245	Atu0050	actR
ATU_RS00250	Atu0051	actS
ATU_RS00255	Atu0052	hrpB
ATU_RS00260	Atu0053	Atu0053
ATU_RS00265	Atu0054	Atu0054
ATU_RS00270	Atu0055	Atu0055
ATU_RS00280	Atu0057	Atu0057
ATU_RS00285	Atu0059	Atu0059
ATU_RS00290	Atu0060	Atu0060
ATU_RS00295	Atu0061	recQ
ATU_RS00300	Atu0062	frcR
ATU_RS00305	Atu0063	frcB
ATU_RS00310	Atu0064	frcC
ATU_RS00315	Atu0065	frcA
ATU_RS00320	Atu0066	Atu0066
ATU_RS00325	Atu0068	nrdH
ATU_RS00330	Atu0069	nrdI
ATU_RS00335	Atu0070	nrdE
ATU_RS00340	Atu0071	nrdF
ATU_RS00345	Atu0072	Atu0072
ATU_RS00350	Atu0073	Atu0073
ATU_RS00355	Atu0074	moeB
ATU_RS00360	Atu0075	Atu0075
ATU_RS00365	Atu0076	Atu0076
ATU_RS00370	Atu0077	Atu0077
ATU_RS00375	Atu0078	Atu0078
ATU_RS00380	Atu0079	Atu0079
ATU_RS00385	Atu0080	Atu0080
ATU_RS00390	Atu0081	rsmC
ATU_RS00395	Atu0082	pnpA
ATU_RS00400	Atu0084	rpsO
ATU_RS00405	Atu0085	truB
ATU_RS00410	Atu0086	rbfA
ATU_RS00415	Atu0087	infB
ATU_RS00420	Atu0088	Atu0088
ATU_RS00425	Atu0089	nusA
ATU_RS00430	Atu0090	Atu0090
ATU_RS00435	Atu0091	Atu0091
ATU_RS00440	Atu0092	mltB
ATU_RS00445	Atu0093	recR
ATU_RS00450	Atu0094	Atu0094
ATU_RS00455	Atu0095	Atu0095
