"gene_id","CD0-ND0","CD3-ND3","CD4-ND4"
"ATU_RS00005","None","None","None"
"ATU_RS00010","None","None","Down"
"ATU_RS00015","None","None","None"
"ATU_RS00020","None","None","None"
"ATU_RS00025","None","None","None"
"ATU_RS00030","None","Down","None"
"ATU_RS00035","None","None","None"
"ATU_RS00040","None","None","None"
"ATU_RS00045","None","Up","None"
"ATU_RS00050","None","None","None"
"ATU_RS00055","None","None","None"
"ATU_RS00060","None","None","None"
"ATU_RS00065","None","Down","None"
"ATU_RS00070","None","None","None"
"ATU_RS00075","None","Up","Up"
"ATU_RS00080","None","None","None"
"ATU_RS00085","None","None","None"
"ATU_RS00090","None","None","None"
"ATU_RS00095","None","None","None"
"ATU_RS00100","None","Down","None"
"ATU_RS00105","None","None","None"
"ATU_RS00110","None","Down","Down"
"ATU_RS00115","None","Up","None"
"ATU_RS00120","None","Up","None"
"ATU_RS00125","None","Down","None"
"ATU_RS00130","None","None","None"
"ATU_RS00135","None","None","None"
"ATU_RS00140","None","None","None"
"ATU_RS00145","None","None","Up"
"ATU_RS00150","None","Down","None"
"ATU_RS00155","None","None","None"
"ATU_RS00160","None","None","None"
"ATU_RS00165","None","None","None"
"ATU_RS00170","None","None","None"
"ATU_RS00175","None","None","None"
"ATU_RS00180","None","None","None"
"ATU_RS00185","None","Down","None"
"ATU_RS00190","None","Down","None"
"ATU_RS00195","None","None","None"
"ATU_RS00200","None","None","None"
"ATU_RS00205","None","Down","None"
"ATU_RS00210","None","Down","Down"
"ATU_RS00215","None","None","Down"
"ATU_RS00220","None","Down","Down"
"ATU_RS00225","None","None","None"
"ATU_RS00230","None","None","None"
"ATU_RS00235","None","Down","Down"
"ATU_RS00240","None","None","None"
"ATU_RS00245","None","None","None"
"ATU_RS00250","None","None","None"
"ATU_RS00255","None","Up","None"
"ATU_RS00260","None","Up","Up"
"ATU_RS00265","None","None","None"
"ATU_RS00280","None","Up","Up"
"ATU_RS00290","None","None","None"
"ATU_RS00295","None","Up","None"
"ATU_RS00300","None","None","None"
"ATU_RS00305","None","Up","Up"
"ATU_RS00310","None","None","None"
"ATU_RS00315","None","None","None"
"ATU_RS00320","None","None","None"
"ATU_RS00325","None","None","None"
"ATU_RS00330","None","Up","None"
"ATU_RS00335","None","None","None"
"ATU_RS00340","None","None","None"
"ATU_RS00345","None","None","None"
"ATU_RS00350","None","None","None"
"ATU_RS00355","None","None","None"
"ATU_RS00360","None","Up","Up"
"ATU_RS00365","None","None","Down"
"ATU_RS00370","None","None","None"
"ATU_RS00375","None","None","None"
"ATU_RS00380","None","None","None"
"ATU_RS00385","None","None","None"
"ATU_RS00390","None","None","None"
"ATU_RS00395","None","Down","Down"
"ATU_RS00400","None","Down","Down"
"ATU_RS00405","None","None","None"
"ATU_RS00410","None","Down","Down"
"ATU_RS00415","None","Down","Down"
"ATU_RS00420","None","None","Down"
"ATU_RS00425","None","Down","Down"
"ATU_RS00430","None","Down","Down"
"ATU_RS00435","None","Up","None"
"ATU_RS00440","None","Down","Down"
"ATU_RS00445","None","None","None"
"ATU_RS00450","None","None","Up"
"ATU_RS00455","None","None","None"
"ATU_RS00460","None","None","None"
"ATU_RS00465","None","None","None"
"ATU_RS00470","None","None","None"
"ATU_RS00475","None","None","None"
"ATU_RS00480","None","None","Down"
"ATU_RS00485","None","None","None"
"ATU_RS00490","None","Down","Down"
"ATU_RS00495","None","Up","Up"
"ATU_RS00500","None","None","None"
"ATU_RS00505","None","None","None"
"ATU_RS00510","None","Down","None"
