Accession - SRR,Sample_Name,SRA,Accession - SRX,Day,Replicate,Group
SRR15969054,ND0_3,SRS10233821,SRX12258582,0,12,ND0
SRR15969055,ND0_2,SRS10233820,SRX12258581,0,11,ND0
SRR15969056,CD0_2,SRS10233819,SRX12258580,0,2,CD0
SRR15969057,CD0_1,SRS10233818, SRX12258579,0,1,CD0
SRR15969058,ND0_1,SRS10233817,SRX12258578,0,10,ND0
SRR15969059,CD4_3,SRS10233816,SRX12258577,4,9,CD4
SRR15969060,CD4_2,SRS10233815,SRX12258576,4,8,CD4
SRR15969061,CD4_1,SRS10233814,SRX12258575,4,7,CD4
SRR15969062,CD3_3,SRS10233813, SRX12258574,3,6,CD3
SRR15969063,CD3_2,SRS10233812,SRX12258573,3,5,CD3
SRR15969064,CD3_1,SRS10233811,SRX12258572,3,4,CD3
SRR15969065,CD0_3,SRS10233810,SRX12258571,0,3,CD0
SRR15969066, ND4_3,SRS10233809,SRX12258570,4,18,ND4
SRR15969067,ND4_2,SRS10233808,SRX12258569,4,17,ND4
SRR15969068,ND4_1,SRS10233807,SRX12258568,4,16,ND4
SRR15969069,ND3_3,SRS10233806,SRX12258567,3,15,ND3
SRR15969070,ND3_2,SRS10233805,SRX12258566,3,14,ND3
SRR15969071,ND3_1,SRS10233804,SRX12258565,3,13,ND3
