.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR15969054_1	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969054_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969055_1	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969055_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969056_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969056_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969057_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969057_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969058_1	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969058_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969059_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969059_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969060_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969060_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969061_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969061_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969062_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969062_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969063_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969063_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969064_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969064_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969065_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR15969065_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969066_1	1	1	1	0.5	0.25	1	1	0.25	0.5	1
SRR15969066_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969067_1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
SRR15969067_2	1	1	1	0.5	0.5	1	1	0.25	0.25	1
SRR15969068_1	1	1	1	0.5	0.25	1	1	0.25	0.5	1
SRR15969068_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969069_1	1	1	1	0.5	0.25	1	1	0.25	0.5	1
SRR15969069_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969070_1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
SRR15969070_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
SRR15969071_1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
SRR15969071_2	1	1	1	0.5	0.25	1	1	0.25	0.25	1
