Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR15969054_1 - illumina_universal_adapter	(1, 0.0)	(2, 2.806359772516477e-05)	(3, 2.806359772516477e-05)	(4, 8.419079317549431e-05)	(5, 8.419079317549431e-05)	(6, 8.419079317549431e-05)	(7, 0.00011225439090065908)	(8, 0.0001964451840761534)	(9, 0.0003086995749768125)	(10, 0.0005612719545032953)	(12, 0.0006454627476787897)	(14, 0.0007015899431291193)	(16, 0.000729653540854284)	(18, 0.000729653540854284)	(20, 0.0009260987249304373)	(22, 0.001066416713556261)	(24, 0.0011225439090065906)	(26, 0.001164639305594338)	(28, 0.0013189890930827442)	(30, 0.0015715614726092271)	(32, 0.001711879461235051)	(34, 0.001711879461235051)	(36, 0.0017680066566853805)	(38, 0.0018521974498608748)	(40, 0.001936388243036369)	(42, 0.0020486426339370277)	(44, 0.002132833427112522)	(46, 0.002231056019150599)	(48, 0.002329278611188676)	(50, 0.0024695965998144994)	(52, 0.0027502325770661475)	(54, 0.0030168367554552124)	(56, 0.003423758922470102)	(58, 0.0038868082849353204)	(60, 0.004265666854225044)	(62, 0.004714684417827681)	(64, 0.005486433355269712)	(66, 0.00635640488474982)	(68, 0.007310567207405422)	(70, 0.00876987428911399)	(72, 0.010636103537837447)	(74, 0.012572491780873815)	(76, 0.01424227584552112)	(78, 0.016150600490832324)	(80, 0.018395688308845505)	(82, 0.021314302472262642)	(84, 0.024429361819755933)	(86, 0.028470519892179656)	(88, 0.033115045315694425)	(90, 0.03718426698584332)	(92, 0.04171653801845743)	(94, 0.04732925756349038)	(96, 0.054934492547010036)	(98, 0.0639569392156505)	(100, 0.07431240677623631)	(102, 0.08483625592317309)	(104, 0.09679134855409328)	(106, 0.10954625372018068)	(108, 0.125528472624662)	(110, 0.14299806220857708)	(112, 0.16439655547401522)	(114, 0.18940122104713702)	(116, 0.21517763555770086)	(118, 0.2413750040341422)	(120, 0.2739568409930585)	(122, 0.30917665613814027)	(124, 0.3402009634233099)	(126, 0.3742982346593851)	(128, 0.4141766070268442)	(130, 0.45702972075317083)	(132, 0.4995320395079329)	(134, 0.5499342610223288)	(136, 0.5995927971970079)	(138, 0.6526610604952945)
SRR15969054_2 - illumina_universal_adapter	(1, 0.0)	(2, 2.806359772516477e-05)	(3, 2.806359772516477e-05)	(4, 8.419079317549431e-05)	(5, 8.419079317549431e-05)	(6, 8.419079317549431e-05)	(7, 0.00011225439090065908)	(8, 0.00016838158635098862)	(9, 0.00028063597725164766)	(10, 0.0005612719545032953)	(12, 0.0006454627476787897)	(14, 0.0007015899431291193)	(16, 0.000729653540854284)	(18, 0.000729653540854284)	(20, 0.0009260987249304373)	(22, 0.001066416713556261)	(24, 0.001136575707869173)	(26, 0.001164639305594338)	(28, 0.0013189890930827442)	(30, 0.0015715614726092271)	(32, 0.001711879461235051)	(34, 0.001711879461235051)	(36, 0.0017960702544105452)	(38, 0.0019083246453112043)	(40, 0.0020346108350744454)	(42, 0.0022170242202880167)	(44, 0.002329278611188676)	(46, 0.002455564800951917)	(48, 0.002595882789577741)	(50, 0.0028624869679668066)	(52, 0.0032553773361191133)	(54, 0.0036202041065462555)	(56, 0.004083253469011474)	(58, 0.004616461825789604)	(60, 0.005051447590529659)	(62, 0.005514496952994876)	(64, 0.006328341287024655)	(66, 0.007226376414229928)	(68, 0.008250697731198443)	(70, 0.00978016380721992)	(72, 0.011674456653668543)	(74, 0.013526654103529418)	(76, 0.015280628961352218)	(78, 0.017146858210075673)	(80, 0.019405977826951436)	(82, 0.02236668738695632)	(84, 0.02559400112535027)	(86, 0.029663222795499163)	(88, 0.034293716420151346)	(90, 0.03836293809030024)	(92, 0.04283908192746402)	(94, 0.04856405586339763)	(96, 0.05625348164009278)	(98, 0.06530399190645841)	(100, 0.07572961846135713)	(102, 0.08615524501625584)	(104, 0.09825065563580185)	(106, 0.11094943360643891)	(108, 0.12674923912570668)	(110, 0.1444293056925605)	(112, 0.1658277989579986)	(114, 0.1905377967550062)	(116, 0.21614582967921905)	(118, 0.24228707096021002)	(120, 0.2746724627350502)	(122, 0.3097098644949184)	(124, 0.3403974086073861)	(126, 0.3742561392627973)	(128, 0.41343292168712736)	(130, 0.4556966998612255)	(132, 0.4973571106842326)	(134, 0.5464263113066832)	(136, 0.5949342399746305)	(138, 0.6468098003695976)
SRR15969055_1 - illumina_universal_adapter	(1, 6.0435613861149785e-05)	(2, 6.0435613861149785e-05)	(3, 0.00018130684158344933)	(4, 0.00021152464851402424)	(5, 0.00021152464851402424)	(6, 0.000271960262375174)	(7, 0.00039283149009747357)	(8, 0.0004532671039586234)	(9, 0.000543920524750348)	(10, 0.0006950095594032224)	(12, 0.0008914253044519592)	(14, 0.0009971876287089715)	(16, 0.0010576232425701213)	(18, 0.0011331677598965585)	(20, 0.001223821180688283)	(22, 0.0012842567945494329)	(24, 0.0013446924084105827)	(26, 0.0014353458292023073)	(28, 0.001525999249994032)	(30, 0.001722414995042769)	(32, 0.0018735040296956433)	(34, 0.001903721836626218)	(36, 0.00200948416088323)	(38, 0.0021152464851402425)	(40, 0.0021454642920708173)	(42, 0.0022210088093972545)	(44, 0.0024174245544459913)	(46, 0.002477860168307141)	(48, 0.0026591670098905906)	(50, 0.002855582754939327)	(52, 0.002991562886126914)	(54, 0.00330884985889795)	(56, 0.00355059231434255)	(58, 0.004124730646023473)	(60, 0.004562888846516809)	(62, 0.004985938143544857)	(64, 0.005499640861364631)	(66, 0.006194650420767852)	(68, 0.006965204497497513)	(70, 0.008053045546998209)	(72, 0.009367520148478217)	(74, 0.010938846108868111)	(76, 0.012510172069258006)	(78, 0.013854864477668587)	(80, 0.01550173495538492)	(82, 0.017420565695476425)	(84, 0.019656683408338968)	(86, 0.022134543576646105)	(88, 0.024854146200397848)	(90, 0.02798168921771235)	(92, 0.03172869727710363)	(94, 0.03627647722015516)	(96, 0.0410357818117207)	(98, 0.04639944254189775)	(100, 0.052594092962665595)	(102, 0.059453535135906094)	(104, 0.067279947130925)	(106, 0.07601289333386113)	(108, 0.0867704326011458)	(110, 0.09786036774466678)	(112, 0.11097489595253629)	(114, 0.12647663090792122)	(116, 0.14113226726925002)	(118, 0.15760097204641332)	(120, 0.17834549650425302)	(122, 0.1990446942516968)	(124, 0.21741712086548634)	(126, 0.23677162620451958)	(128, 0.2586795362291864)	(130, 0.28140332704097865)	(132, 0.3062876910483071)	(134, 0.33366502412740795)	(136, 0.36228128729066233)	(138, 0.39145657988213245)
SRR15969055_2 - illumina_universal_adapter	(1, 6.0435613861149785e-05)	(2, 6.0435613861149785e-05)	(3, 0.00018130684158344933)	(4, 0.00021152464851402424)	(5, 0.00021152464851402424)	(6, 0.000271960262375174)	(7, 0.00039283149009747357)	(8, 0.0004532671039586234)	(9, 0.000543920524750348)	(10, 0.0006950095594032224)	(12, 0.0008914253044519592)	(14, 0.0009971876287089715)	(16, 0.0010576232425701213)	(18, 0.0011331677598965585)	(20, 0.0012389300841535705)	(22, 0.0013144746014800077)	(24, 0.0014051280222717325)	(26, 0.001525999249994032)	(28, 0.0016166526707857567)	(30, 0.001797959512369206)	(32, 0.0019641574504873677)	(34, 0.0019943752574179425)	(36, 0.0020699197747443797)	(38, 0.002205899905931967)	(40, 0.0022965533267236917)	(42, 0.0024023156509807037)	(44, 0.0025987313960294405)	(46, 0.0027044937202864525)	(48, 0.0029009094653351898)	(50, 0.0031728697277103634)	(52, 0.00342972108662025)	(54, 0.003822552576717724)	(56, 0.004260710777211059)	(58, 0.004895284722753132)	(60, 0.00537876963364233)	(62, 0.005816927834135666)	(64, 0.006481719586608314)	(66, 0.007282491470268548)	(68, 0.008173916774720508)	(70, 0.009382629051943503)	(72, 0.010863301591541672)	(74, 0.01241951864846628)	(76, 0.014172151450439624)	(78, 0.015592388376176644)	(80, 0.01734502117814999)	(82, 0.019399832049429078)	(84, 0.021726603183083344)	(86, 0.024234681158321062)	(88, 0.027120481720190964)	(90, 0.03045954938601949)	(92, 0.034372755383528936)	(94, 0.03904140655430276)	(96, 0.04398201798745176)	(98, 0.04951187665574696)	(100, 0.0559633784354247)	(102, 0.06288325622252634)	(104, 0.07098162847992043)	(106, 0.07975990139325242)	(108, 0.09066852969518996)	(110, 0.10190955387336381)	(112, 0.11494853756390688)	(114, 0.13038983690543066)	(116, 0.1452569979152735)	(118, 0.1619825540513467)	(120, 0.18299903877156154)	(122, 0.20375867213286647)	(124, 0.2223728412021006)	(126, 0.24180289105846026)	(128, 0.2638014545039188)	(130, 0.2866461165434334)	(132, 0.3119535298477899)	(134, 0.33902868485758497)	(136, 0.3678262548624229)	(138, 0.39728861661973336)
SRR15969056_1 - illumina_universal_adapter	(1, 2.6285250163297117e-05)	(2, 5.2570500326594235e-05)	(3, 7.885575048989135e-05)	(4, 7.885575048989135e-05)	(5, 0.00013142625081648558)	(6, 0.0001577115009797827)	(7, 0.0001577115009797827)	(8, 0.0001577115009797827)	(9, 0.00023656725146967405)	(10, 0.00035485087720451105)	(12, 0.0004994197531026452)	(14, 0.0005519902534292394)	(16, 0.0006439886290007793)	(18, 0.000683416504245725)	(20, 0.0007359870045723193)	(22, 0.0008017001299805621)	(24, 0.0008674132553888049)	(26, 0.0009331263807970476)	(28, 0.0010645526316135333)	(30, 0.0013668330084914502)	(32, 0.0016428281352060697)	(34, 0.0016953986355326641)	(36, 0.0017348265107776097)	(38, 0.001813682261267501)	(40, 0.001905680636839041)	(42, 0.002089677387982121)	(44, 0.002234246263880255)	(46, 0.002378815139778389)	(48, 0.002615382391248063)	(50, 0.0028388070176360884)	(52, 0.0031016595192690597)	(54, 0.003325084145657085)	(56, 0.003574794022208408)	(58, 0.00400850064990281)	(60, 0.004507920403005456)	(62, 0.005086195906597993)	(64, 0.00555933040953734)	(66, 0.006308460039191308)	(68, 0.007215301169825059)	(70, 0.007977573424560675)	(72, 0.00929183593272553)	(74, 0.010448386939910605)	(76, 0.012170070825606566)	(78, 0.014167749838017146)	(80, 0.01624428460091762)	(82, 0.018544243990206113)	(84, 0.021146483756372528)	(86, 0.02426128590072324)	(88, 0.02792807829850319)	(90, 0.03184458057283446)	(92, 0.03585308122273727)	(94, 0.04065013937753899)	(96, 0.04631461078772952)	(98, 0.05259678557675753)	(100, 0.05966751787068445)	(102, 0.06782908804638821)	(104, 0.0771077813540321)	(106, 0.08695160754018685)	(108, 0.09796512735860835)	(110, 0.11052947693666437)	(112, 0.12597206140760142)	(114, 0.1439117446440517)	(116, 0.16232456238344134)	(118, 0.1805270981215246)	(120, 0.20300098701114364)	(122, 0.22993022580344152)	(124, 0.2536000935754906)	(126, 0.2784790828550513)	(128, 0.30327921638412214)	(130, 0.33210099318817743)	(132, 0.36285473587923506)	(134, 0.39517245095500886)	(136, 0.42789758740831374)	(138, 0.46183184536913036)
SRR15969056_2 - illumina_universal_adapter	(1, 2.6285250163297117e-05)	(2, 5.2570500326594235e-05)	(3, 7.885575048989135e-05)	(4, 7.885575048989135e-05)	(5, 0.00013142625081648558)	(6, 0.0001577115009797827)	(7, 0.0001577115009797827)	(8, 0.0001577115009797827)	(9, 0.00023656725146967405)	(10, 0.00035485087720451105)	(12, 0.00048627712802099666)	(14, 0.0005257050032659423)	(16, 0.0006177033788374823)	(18, 0.0006571312540824279)	(20, 0.0007097017544090221)	(22, 0.0007754148798172649)	(24, 0.0008411280052255078)	(26, 0.0009331263807970476)	(28, 0.0011171231319401275)	(30, 0.0014456887589813414)	(32, 0.0017479691358592581)	(34, 0.0018268248863491496)	(36, 0.0018662527615940952)	(38, 0.001997679012410581)	(40, 0.002115962638145418)	(42, 0.002299959389288498)	(44, 0.002470813515349929)	(46, 0.0026285250163297115)	(48, 0.0029439480182892773)	(50, 0.0032856562704121394)	(52, 0.0036142218974533537)	(54, 0.0038245038987597306)	(56, 0.004179354775964242)	(58, 0.00465248927890359)	(60, 0.005178194282169531)	(62, 0.005809040286088663)	(64, 0.006321602664272957)	(66, 0.007136445419335167)	(68, 0.008174712800785404)	(70, 0.009042126056174209)	(72, 0.010500957440237199)	(74, 0.011788934698238756)	(76, 0.013628902209669554)	(78, 0.015705436972570028)	(80, 0.017847684860878742)	(82, 0.02025278525082043)	(84, 0.022999593892884976)	(86, 0.026127538662317335)	(88, 0.029886329435668824)	(90, 0.03392111533573493)	(92, 0.03812675536186247)	(94, 0.04314723814305221)	(96, 0.048943135804059235)	(98, 0.05546187784455692)	(100, 0.06271660688962692)	(102, 0.07112788694188199)	(104, 0.08057743437558731)	(106, 0.09060525731288516)	(108, 0.10182905913261303)	(110, 0.11456426283673049)	(112, 0.1301251309334024)	(114, 0.1482882387962407)	(116, 0.16654334503465051)	(118, 0.18498244802420344)	(120, 0.2075351926643124)	(122, 0.2347141413331616)	(124, 0.25843657960553723)	(126, 0.28334185413526125)	(128, 0.3083916975408834)	(130, 0.3372923300954286)	(132, 0.3684403515389357)	(134, 0.4010209191163424)	(136, 0.4340746211966886)	(138, 0.46814030540832163)
SRR15969057_1 - illumina_universal_adapter	(1, 0.00018986495448258952)	(2, 0.0002712356492608422)	(3, 0.0002712356492608422)	(4, 0.0002712356492608422)	(5, 0.0002712356492608422)	(6, 0.0002983592141869264)	(7, 0.0002983592141869264)	(8, 0.00035260634403909484)	(9, 0.00037972990896517904)	(10, 0.0005153477335956002)	(12, 0.0010035719022651161)	(14, 0.0010442572496542424)	(16, 0.0010713808145803266)	(18, 0.001112066161969453)	(20, 0.0012748075515259581)	(22, 0.0014104253761563794)	(24, 0.0014511107235455057)	(26, 0.0015596049832498425)	(28, 0.0017901552851215582)	(30, 0.0032141424437409794)	(32, 0.003702366612410496)	(34, 0.003783737307188748)	(36, 0.003892231566893085)	(38, 0.004041411173986548)	(40, 0.004204152563543053)	(42, 0.00431264682324739)	(44, 0.004448264647877811)	(46, 0.00469237673221257)	(48, 0.004855118121769074)	(50, 0.00501785951132558)	(52, 0.0053704658553646745)	(54, 0.005858690024034191)	(56, 0.006509655582260212)	(58, 0.007336924312505781)	(60, 0.007987889870731802)	(62, 0.00952037128905556)	(64, 0.010591752103635887)	(66, 0.011758065395457509)	(68, 0.013168490771613887)	(70, 0.01531125240077454)	(72, 0.01763031720195474)	(74, 0.020451167954267498)	(76, 0.023272018706580258)	(78, 0.026323419760764733)	(80, 0.02965961824667309)	(82, 0.033361984859083586)	(84, 0.03772887881218315)	(86, 0.04282810901828698)	(88, 0.04855118121769075)	(90, 0.055060836799950955)	(92, 0.06105514464861557)	(94, 0.06869042817530828)	(96, 0.07766832816584215)	(98, 0.08751418223401072)	(100, 0.09782113690592273)	(102, 0.11116593084955617)	(104, 0.12546004956560253)	(106, 0.14261570438135082)	(108, 0.15865929303512963)	(110, 0.17719824966210818)	(112, 0.2020705586993274)	(114, 0.2293433032325051)	(116, 0.2535239613641092)	(118, 0.2781657200994567)	(120, 0.3070387549632734)	(122, 0.34205527728284807)	(124, 0.3710639299712951)	(126, 0.39910969610486624)	(128, 0.43165797401616723)	(130, 0.4659828454301268)	(132, 0.4999144251526582)	(134, 0.5383892020003087)	(136, 0.5785320780909133)	(138, 0.6212923781968851)
SRR15969057_2 - illumina_universal_adapter	(1, 0.00018986495448258952)	(2, 0.0002712356492608422)	(3, 0.0002712356492608422)	(4, 0.0002712356492608422)	(5, 0.0002712356492608422)	(6, 0.0002983592141869264)	(7, 0.0002983592141869264)	(8, 0.00035260634403909484)	(9, 0.00037972990896517904)	(10, 0.0005153477335956002)	(12, 0.0010035719022651161)	(14, 0.0010442572496542424)	(16, 0.0010713808145803266)	(18, 0.001112066161969453)	(20, 0.0012748075515259581)	(22, 0.0014104253761563794)	(24, 0.0014511107235455057)	(26, 0.0015460432007868004)	(28, 0.001763031720195474)	(30, 0.0032141424437409794)	(32, 0.003715928394873538)	(34, 0.0039193551318191695)	(36, 0.004027849391523506)	(38, 0.004258399693395222)	(40, 0.0044618264303408536)	(42, 0.004611006037434317)	(44, 0.004800870991916907)	(46, 0.005126353771029917)	(48, 0.005329780507975549)	(50, 0.0055467690273842225)	(52, 0.005926498936349401)	(54, 0.006591026277038465)	(56, 0.007282677182653612)	(58, 0.00816419304275135)	(60, 0.00893721464314475)	(62, 0.010591752103635887)	(64, 0.011744503612994466)	(66, 0.012978625817131297)	(68, 0.014429736540676804)	(70, 0.01677592490678309)	(72, 0.01928485466244588)	(74, 0.022241323239389058)	(76, 0.025238477163721365)	(78, 0.028466181389925384)	(80, 0.0319515594829272)	(82, 0.03592516174459855)	(84, 0.04053616778203287)	(86, 0.045554027293358446)	(88, 0.051385593752466555)	(90, 0.05803086715935718)	(92, 0.0641879163975783)	(94, 0.07180963814180796)	(96, 0.08069260565510054)	(98, 0.09082325715499301)	(100, 0.10140144747616583)	(102, 0.11505816241644926)	(104, 0.1295285843045152)	(106, 0.14667067733780043)	(108, 0.1627413895565053)	(110, 0.18179569391707945)	(112, 0.20696636216848563)	(114, 0.2343747245262937)	(116, 0.25889442721947387)	(118, 0.2837124891268409)	(120, 0.3126397711205098)	(122, 0.34753423739791706)	(124, 0.37677344038823585)	(126, 0.4052396217781612)	(128, 0.4382761238581318)	(130, 0.47310278122322397)	(132, 0.5074683379845726)	(134, 0.5461194180042427)	(136, 0.5862758558773103)	(138, 0.628697111421706)
SRR15969058_1 - illumina_universal_adapter	(1, 5.8824532889090464e-05)	(2, 8.823679933363569e-05)	(3, 0.00011764906577818093)	(4, 0.00014706133222272614)	(5, 0.00017647359866727137)	(6, 0.00017647359866727137)	(7, 0.00017647359866727137)	(8, 0.00023529813155636186)	(9, 0.00023529813155636186)	(10, 0.0004117717302236332)	(12, 0.0004411839966681785)	(14, 0.0005441269292240868)	(16, 0.0006029514621131772)	(18, 0.0006323637285577224)	(20, 0.0006764821282245403)	(22, 0.0008088373272249938)	(24, 0.0008529557268918117)	(26, 0.0009411925262254474)	(28, 0.0010441354587813556)	(30, 0.0012353151906708997)	(32, 0.00129413972355999)	(34, 0.001411788789338171)	(36, 0.0014264949225604438)	(38, 0.0014706133222272615)	(40, 0.0016470869208945328)	(42, 0.0017500298534504411)	(44, 0.0018382666527840769)	(46, 0.002014740251451348)	(48, 0.0021470954504518016)	(50, 0.002220626116563165)	(52, 0.0025000426477863446)	(54, 0.0027794591790095244)	(56, 0.002955932777676796)	(58, 0.0032941738417890656)	(60, 0.003632414905901336)	(62, 0.004205954101569968)	(64, 0.004647138098238146)	(66, 0.005176558894239961)	(68, 0.006000102354687228)	(70, 0.006926588747690402)	(72, 0.007882487407138122)	(74, 0.009176627130698112)	(76, 0.010411942321369012)	(78, 0.011647257512039912)	(80, 0.013411993498712626)	(82, 0.015441439883386246)	(84, 0.01810324999661759)	(86, 0.020735647843404387)	(88, 0.023559225422080728)	(90, 0.027412232326316156)	(92, 0.0311475901647734)	(94, 0.03538295653278791)	(96, 0.04010362529713742)	(98, 0.04533900872426647)	(100, 0.05138322947862052)	(102, 0.05903041875420228)	(104, 0.06822175201812267)	(106, 0.07678072155348532)	(108, 0.08635441428118479)	(110, 0.09672223820288699)	(112, 0.10998717036937689)	(114, 0.12504625078898407)	(116, 0.14034062934014757)	(118, 0.15769386654242926)	(120, 0.17634124346827093)	(122, 0.19740042624256532)	(124, 0.2180772495530806)	(126, 0.23925408139315318)	(128, 0.2613573996262289)	(130, 0.2868137162339828)	(132, 0.31229944510818125)	(134, 0.33975579583416426)	(136, 0.36735920789237)	(138, 0.39706559700136057)
SRR15969058_2 - illumina_universal_adapter	(1, 5.8824532889090464e-05)	(2, 8.823679933363569e-05)	(3, 0.00011764906577818093)	(4, 0.00014706133222272614)	(5, 0.00017647359866727137)	(6, 0.00017647359866727137)	(7, 0.00017647359866727137)	(8, 0.00023529813155636186)	(9, 0.00023529813155636186)	(10, 0.0004117717302236332)	(12, 0.0004411839966681785)	(14, 0.0005441269292240868)	(16, 0.0006029514621131772)	(18, 0.0006323637285577224)	(20, 0.0006764821282245403)	(22, 0.0008088373272249938)	(24, 0.0008529557268918117)	(26, 0.0010000170591145379)	(28, 0.001147078391337264)	(30, 0.0013529642564490806)	(32, 0.0014264949225604438)	(34, 0.0015588501215608973)	(36, 0.0016470869208945328)	(38, 0.001720617587005896)	(40, 0.0018823850524508946)	(42, 0.002014740251451348)	(44, 0.0021323893172295293)	(46, 0.0024118058484527086)	(48, 0.002647103980009071)	(50, 0.002823577578676342)	(52, 0.003176524776010885)	(54, 0.003514765840123155)	(56, 0.0037647701049017893)	(58, 0.004147129568680878)	(60, 0.004558901298904511)	(62, 0.0051030282281285975)	(64, 0.005544212224796776)	(66, 0.006088339154020863)	(68, 0.0069560010141349465)	(70, 0.007956018073249485)	(72, 0.008985447398808568)	(74, 0.010279587122368558)	(76, 0.011500196179817186)	(78, 0.012764923636932629)	(80, 0.014529659623605345)	(82, 0.01658851827472351)	(84, 0.01933856518728849)	(86, 0.022103318233075743)	(88, 0.024868071278862994)	(90, 0.0286769597834316)	(92, 0.03242702375511111)	(94, 0.03672121465601472)	(96, 0.04144188342036423)	(98, 0.04678020978004919)	(100, 0.05291266733373687)	(102, 0.06076574247443045)	(104, 0.0699717818715731)	(106, 0.07842780847437986)	(108, 0.08792797053596796)	(110, 0.0984869741895597)	(112, 0.11145778369160415)	(114, 0.1261492107806545)	(116, 0.1416200629304853)	(118, 0.15922330439754562)	(120, 0.17779715065727592)	(122, 0.19851809236745804)	(124, 0.21885667461386105)	(126, 0.23991585738815546)	(128, 0.2618427020225639)	(130, 0.2865490058359819)	(132, 0.31171119977929035)	(134, 0.338991076906606)	(136, 0.3663150724335886)	(138, 0.3954626284801329)
