Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR15969054_1	(1, 0.07181474657869664)	(2, 0.0)	(3, 0.014593070817085678)	(4, 5.612719545032954e-05)	(5, 0.11337693480966567)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.04219642553955774)	(50, 0.0)	(55, 0.0)	(60, 0.005343309006871372)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.1225439090065907e-05)	(100, 5.6127195450329535e-06)	(105, 0.04390269228124777)	(110, 0.0)	(115, 0.0)	(120, 0.04419455369758948)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969054_2	(1, 0.15684744768594588)	(2, 0.0)	(3, 0.02688492662070785)	(4, 0.0)	(5, 0.0)	(6, 0.0003367631727019772)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.683815863509886e-05)	(120, 2.2450878180131814e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969055_1	(1, 0.07095141067298984)	(2, 0.0)	(3, 0.014141933643509047)	(4, 0.0)	(5, 0.11712421966290827)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.042951590771119146)	(50, 0.0)	(55, 0.0)	(60, 0.005233724160375571)	(65, 0.0)	(70, 6.043561386114978e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.04317520254240541)	(110, 0.0)	(115, 0.0)	(120, 0.04443226331071732)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969055_2	(1, 0.15864348638551817)	(2, 0.0)	(3, 0.02710537281672568)	(4, 0.0)	(5, 0.0)	(6, 0.0003021780693057489)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 4.230492970280485e-05)	(120, 4.230492970280485e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969056_1	(1, 0.07075989343959585)	(2, 0.0)	(3, 0.015455727096018706)	(4, 0.0)	(5, 0.11179116894450264)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.043276035868852376)	(50, 0.0)	(55, 0.0)	(60, 0.005125623781842938)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 5.257050032659424e-06)	(100, 0.0)	(105, 0.04423281897479639)	(110, 0.0)	(115, 0.0)	(120, 0.04631461078772952)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969056_2	(1, 0.15379499870545144)	(2, 0.0)	(3, 0.027126378168522626)	(4, 0.0)	(5, 0.0)	(6, 0.00018399675114307983)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.0514100065318847e-05)	(120, 5.257050032659424e-06)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969057_1	(1, 0.07071113376230155)	(2, 0.0)	(3, 0.015975779741463605)	(4, 0.0)	(5, 0.11709242978590556)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.04272503947156786)	(50, 0.0)	(55, 0.0)	(60, 0.0055766049488029145)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.04314816708441477)	(110, 0.0)	(115, 0.0)	(120, 0.04430363095026596)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969057_2	(1, 0.1599747859340447)	(2, 0.0)	(3, 0.027828777614162407)	(4, 0.0)	(5, 0.0)	(6, 0.0005424712985216844)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 5.424712985216844e-06)	(120, 3.79729908965179e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969058_1	(1, 0.07194240372335764)	(2, 0.0)	(3, 0.01500025588671807)	(4, 0.0)	(5, 0.11544314579484004)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.04367721567014966)	(50, 0.0)	(55, 0.0)	(60, 0.005317737773173778)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 5.882453288909046e-06)	(100, 0.0)	(105, 0.04452428894375257)	(110, 0.0)	(115, 0.0)	(120, 0.04431252062535184)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969058_2	(1, 0.156708555616537)	(2, 0.0)	(3, 0.026618101132313433)	(4, 0.0)	(5, 0.0)	(6, 0.00011764906577818093)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.1764906577818092e-05)	(120, 3.529471973345428e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
