Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR15969054_1	(1, 36.226259950299365)	(2, 36.32463829530482)	(3, 36.421018231516264)	(4, 36.47181783357445)	(5, 36.41717520244378)	(6, 36.43604235919441)	(7, 36.431310275345986)	(8, 36.48263298286577)	(9, 36.49363784207772)	(10, 36.49678152629489)	(15, 36.499986613663886)	(20, 36.500411272024664)	(25, 36.43894570676066)	(30, 36.40045064525227)	(35, 36.491351107880675)	(40, 36.40814254062557)	(45, 36.34611817300366)	(50, 36.42646032438712)	(55, 36.403132739414055)	(60, 36.385797181572876)	(65, 36.379098962067836)	(70, 36.36699748971118)	(75, 36.36654184913852)	(80, 36.35015035072481)	(85, 36.33348787021148)	(90, 36.3287848602503)	(95, 36.277687335038664)	(100, 36.23361732758777)	(105, 36.14879908849434)	(110, 36.234132294606034)	(115, 36.23209173428825)	(120, 36.14602505798641)	(125, 36.17480079756745)	(130, 36.112422604105426)	(135, 36.04510173755765)	(140, 36.00920716126887)	(145, 35.97626644702224)	(150, 35.9889477133079)
SRR15969054_2	(1, 35.800636201760426)	(2, 36.05372130321735)	(3, 36.17698223714582)	(4, 36.192065859651144)	(5, 36.117537363172424)	(6, 36.030569957638)	(7, 36.14792911696487)	(8, 36.22106509772446)	(9, 36.22665087621568)	(10, 36.25817797091769)	(15, 36.215186335272996)	(20, 36.169238031226364)	(25, 36.11896220815612)	(30, 36.06047183326855)	(35, 35.874334408636855)	(40, 36.07193143501804)	(45, 36.02118077587429)	(50, 36.15651017936848)	(55, 36.04153743613777)	(60, 35.89792949582344)	(65, 35.941648315412394)	(70, 36.04304501260757)	(75, 35.997287877788644)	(80, 35.98362764095994)	(85, 36.02892195092519)	(90, 35.96184737051105)	(95, 35.832630106347004)	(100, 35.79624688669462)	(105, 35.63840834499142)	(110, 35.83115755324717)	(115, 35.76706910801257)	(120, 35.6480927558032)	(125, 35.75360133133707)	(130, 35.57618652189592)	(135, 35.334168075693135)	(140, 35.190671042717)	(145, 35.43108223055087)	(150, 35.532607234514856)
SRR15969055_1	(1, 36.293396472433656)	(2, 36.38036392513599)	(3, 36.475455133053536)	(4, 36.520457304202964)	(5, 36.46073664365379)	(6, 36.48266026693806)	(7, 36.487196564114484)	(8, 36.52997168289313)	(9, 36.53880918270804)	(10, 36.542787296554835)	(15, 36.544629253194095)	(20, 36.536670245462275)	(25, 36.491935441468556)	(30, 36.44630208076797)	(35, 36.5221482926788)	(40, 36.45535847837628)	(45, 36.38954886929499)	(50, 36.46375999567282)	(55, 36.435426087697515)	(60, 36.41219282466087)	(65, 36.41853517972192)	(70, 36.41096749258984)	(75, 36.410952202379534)	(80, 36.391103817204026)	(85, 36.378608149682094)	(90, 36.377593435725366)	(95, 36.324332375328126)	(100, 36.28466642714019)	(105, 36.196851788002746)	(110, 36.28591236775554)	(115, 36.270718854430854)	(120, 36.1903171268184)	(125, 36.224632226626305)	(130, 36.159612087968874)	(135, 36.086116458823554)	(140, 36.03638411304845)	(145, 36.03375455948934)	(150, 36.0510677915346)
SRR15969055_2	(1, 35.83126285956546)	(2, 36.196677733434825)	(3, 36.30931249352206)	(4, 36.31807233357316)	(5, 36.26371352068575)	(6, 36.19237048723494)	(7, 36.282050290287366)	(8, 36.35447753865084)	(9, 36.369505458393554)	(10, 36.3937690277753)	(15, 36.35468676674602)	(20, 36.30627252170923)	(25, 36.26280444818205)	(30, 36.20520423158081)	(35, 36.05001464052746)	(40, 36.228379959913056)	(45, 36.1728847157426)	(50, 36.291819344654336)	(55, 36.18567083682475)	(60, 36.04186598583933)	(65, 36.09850140830089)	(70, 36.184461882805074)	(75, 36.12861490336194)	(80, 36.12694313341132)	(85, 36.17013018133404)	(90, 36.117481817190125)	(95, 35.99546182931955)	(100, 35.966367762193116)	(105, 35.82128663191417)	(110, 35.996506035855845)	(115, 35.93874427485875)	(120, 35.819001984403386)	(125, 35.91717994129889)	(130, 35.75407449354201)	(135, 35.532769428765604)	(140, 35.37644727430849)	(145, 35.61769597078784)	(150, 35.71760462235749)
SRR15969056_1	(1, 36.23989417558284)	(2, 36.32962781400031)	(3, 36.441933648143014)	(4, 36.48952677349868)	(5, 36.42957931771376)	(6, 36.43978246326965)	(7, 36.43686217197651)	(8, 36.494474183284424)	(9, 36.50699069370718)	(10, 36.51335498361772)	(15, 36.51186839500948)	(20, 36.51301695530062)	(25, 36.45328393458654)	(30, 36.40451133748553)	(35, 36.49872640077384)	(40, 36.4160009357549)	(45, 36.34246016798903)	(50, 36.43644455192191)	(55, 36.39586170278479)	(60, 36.36858860034987)	(65, 36.380812345656295)	(70, 36.37768229806685)	(75, 36.379377591561386)	(80, 36.358064143895966)	(85, 36.34854299544082)	(90, 36.34388188459987)	(95, 36.288279380666935)	(100, 36.23269548669113)	(105, 36.13979615788499)	(110, 36.24712545818477)	(115, 36.237760549256585)	(120, 36.142321644720674)	(125, 36.19228149400105)	(130, 36.120285562957775)	(135, 36.04819016852788)	(140, 35.96702383940764)	(145, 35.956292097470964)	(150, 36.01031932636161)
SRR15969056_2	(1, 35.91502136333707)	(2, 36.23535681569965)	(3, 36.35787446953079)	(4, 36.345968302616825)	(5, 36.26395727069733)	(6, 36.183193473898086)	(7, 36.33365103439031)	(8, 36.4019479998896)	(9, 36.412342239214176)	(10, 36.42968987347595)	(15, 36.384468623954014)	(20, 36.3247151007448)	(25, 36.294604715836726)	(30, 36.24515763921654)	(35, 36.1090858384272)	(40, 36.24166485517485)	(45, 36.18538666260122)	(50, 36.33998641052567)	(55, 36.208750780343365)	(60, 36.02637130807233)	(65, 36.11883913821179)	(70, 36.23483857570743)	(75, 36.17461622877631)	(80, 36.16387092365055)	(85, 36.227063714132136)	(90, 36.17357344033182)	(95, 36.033061219661896)	(100, 35.99284121211802)	(105, 35.798706134845965)	(110, 36.050579918331735)	(115, 35.98585701086764)	(120, 35.83617433955023)	(125, 35.97735941005385)	(130, 35.792196645213515)	(135, 35.5201944582807)	(140, 35.35144977611538)	(145, 35.662981404499774)	(150, 35.803110596504325)
SRR15969057_1	(1, 36.1898253540778)	(2, 36.285901089580726)	(3, 36.40934178973758)	(4, 36.45937690119238)	(5, 36.40264769391383)	(6, 36.41149512955706)	(7, 36.40635141670448)	(8, 36.476768531022984)	(9, 36.48470434364906)	(10, 36.48537429570273)	(15, 36.489251012590486)	(20, 36.48921661991016)	(25, 36.43539240068232)	(30, 36.3725920173721)	(35, 36.485043713693415)	(40, 36.393855156365994)	(45, 36.309976182797634)	(50, 36.41059061291391)	(55, 36.36178902694482)	(60, 36.322257624501916)	(65, 36.34723886177587)	(70, 36.34967054361862)	(75, 36.34519927818769)	(80, 36.32696681784438)	(85, 36.309762123623244)	(90, 36.31122299883016)	(95, 36.25227177486573)	(100, 36.199171429338634)	(105, 36.09135525875745)	(110, 36.21009094260084)	(115, 36.19443240007475)	(120, 36.096987575508614)	(125, 36.151878673039256)	(130, 36.0725879217138)	(135, 35.98599702562987)	(140, 35.92334896826027)	(145, 35.906551236007296)	(150, 35.962351135704345)
SRR15969057_2	(1, 35.791357672754735)	(2, 36.08639642012341)	(3, 36.216467475726446)	(4, 36.21634107991389)	(5, 36.10947694646161)	(6, 35.98287770716911)	(7, 36.16392262080904)	(8, 36.26276577364138)	(9, 36.27548238582132)	(10, 36.28663201540835)	(15, 36.22720341670122)	(20, 36.16076174904681)	(25, 36.10010868412466)	(30, 36.02650715478958)	(35, 35.78937993089458)	(40, 36.068251948624706)	(45, 36.00006157049238)	(50, 36.191396079722665)	(55, 36.02555924044254)	(60, 35.82575143802361)	(65, 35.90649351706113)	(70, 36.076402471390736)	(75, 35.99812028270349)	(80, 35.98870005161615)	(85, 36.065802907700416)	(90, 36.00830680874713)	(95, 35.846189912149484)	(100, 35.79513685330301)	(105, 35.58482897642989)	(110, 35.84776937158226)	(115, 35.771605045091576)	(120, 35.60324289342256)	(125, 35.772398626354175)	(130, 35.56062651095208)	(135, 35.19712625829608)	(140, 35.01420960168773)	(145, 35.38435122195729)	(150, 35.5722627372939)
SRR15969058_1	(1, 36.27741237938765)	(2, 36.35330308575852)	(3, 36.452370658087695)	(4, 36.509253981391446)	(5, 36.44899912998516)	(6, 36.486651831119474)	(7, 36.48048584358204)	(8, 36.52473424546654)	(9, 36.53112200149297)	(10, 36.529828685312864)	(15, 36.52938550128208)	(20, 36.52628215422499)	(25, 36.47484445322891)	(30, 36.43394340256393)	(35, 36.51824389945475)	(40, 36.44420051871473)	(45, 36.38637041455413)	(50, 36.45135522900096)	(55, 36.426059503367995)	(60, 36.41196490998964)	(65, 36.4107346537088)	(70, 36.39760395912636)	(75, 36.4002072976539)	(80, 36.38026083974374)	(85, 36.36636036732392)	(90, 36.363222196143354)	(95, 36.31401623910055)	(100, 36.27591976569012)	(105, 36.19283828959435)	(110, 36.27290583192301)	(115, 36.259103125876855)	(120, 36.180734436058025)	(125, 36.207830251221935)	(130, 36.147043449564734)	(135, 36.08506003925949)	(140, 36.037518051778534)	(145, 36.02088565040227)	(150, 36.034918242722966)
SRR15969058_2	(1, 35.7172010581357)	(2, 36.11305898747685)	(3, 36.25344108811268)	(4, 36.265454528341955)	(5, 36.22844507347478)	(6, 36.153372028111065)	(7, 36.24147882522702)	(8, 36.305317561299574)	(9, 36.324471417453594)	(10, 36.34728980670847)	(15, 36.31019540921581)	(20, 36.26904694256549)	(25, 36.22204825847029)	(30, 36.16633801400142)	(35, 36.02323627873652)	(40, 36.183032534084404)	(45, 36.13790847020332)	(50, 36.243226737397286)	(55, 36.145221536132084)	(60, 36.01742912084971)	(65, 36.06965577648089)	(70, 36.142044893707016)	(75, 36.10996140522398)	(80, 36.08917587417668)	(85, 36.12065276407657)	(90, 36.064978755519945)	(95, 35.9449994146959)	(100, 35.92199996352879)	(105, 35.78818026895753)	(110, 35.949420548938775)	(115, 35.887468197986905)	(120, 35.77838539598616)	(125, 35.862824836423684)	(130, 35.704638373242844)	(135, 35.496738591423025)	(140, 35.363683027534)	(145, 35.5771627868946)	(150, 35.666307248770714)
SRR15969059_1	(1, 36.18416736469224)	(2, 36.2902280263471)	(3, 36.4414570580607)	(4, 36.469693284592104)	(5, 36.413913003823325)	(6, 36.39708150178062)	(7, 36.39539890195947)	(8, 36.48949921426257)	(9, 36.501794773142564)	(10, 36.50529416143104)	(15, 36.51409777529902)	(20, 36.49633685962924)	(25, 36.465756105845486)	(30, 36.38525403063905)	(35, 36.486438035771755)	(40, 36.41617675580078)	(45, 36.309257181975525)	(50, 36.4446705616319)	(55, 36.36970072786857)	(60, 36.29662777642075)	(65, 36.358167004060256)	(70, 36.38940066947554)	(75, 36.35987444974792)	(80, 36.33310339549693)	(85, 36.336093495939224)	(90, 36.33634740601815)	(95, 36.2474943939548)	(100, 36.164069627133784)	(105, 36.01944917657443)	(110, 36.210979881138215)	(115, 36.18480596636268)	(120, 36.04953217434879)	(125, 36.16673452977887)	(130, 36.05913442033126)	(135, 35.895377410809104)	(140, 35.81706916271527)	(145, 35.84359181071853)	(150, 35.94212275954757)
SRR15969059_2	(1, 35.693774695166375)	(2, 36.07598536924417)	(3, 36.23898185413065)	(4, 36.17211947821583)	(5, 36.009242243005154)	(6, 35.87769648415264)	(7, 36.14350165272188)	(8, 36.29304441539353)	(9, 36.30284280743615)	(10, 36.306990180116806)	(15, 36.20832210726495)	(20, 36.105638544011256)	(25, 36.040594057330004)	(30, 35.94251651935618)	(35, 35.54974111026428)	(40, 36.03936266683161)	(45, 35.839461001948884)	(50, 36.24989626588642)	(55, 36.00056285846977)	(60, 35.688436083746296)	(65, 35.861225456844195)	(70, 36.107568554148784)	(75, 35.97956359336227)	(80, 35.97680444416022)	(85, 36.1121947077256)	(90, 36.056240767978395)	(95, 35.81403948710583)	(100, 35.7157989308939)	(105, 35.445585874967634)	(110, 35.89885855782849)	(115, 35.81534274191435)	(120, 35.58315948215763)	(125, 35.84703144312551)	(130, 35.57197249971432)	(135, 35.04584743799279)	(140, 34.735842101897404)	(145, 35.34271622980226)	(150, 35.67457104188048)
SRR15969060_1	(1, 36.055374113660015)	(2, 36.06180273444507)	(3, 36.23983515418602)	(4, 36.274443433506114)	(5, 36.26591776440686)	(6, 36.22739611846228)	(7, 36.197613457897845)	(8, 36.317719191507216)	(9, 36.31748902179558)	(10, 36.350090298274424)	(15, 36.333837138557115)	(20, 36.329579769334316)	(25, 36.28918498494146)	(30, 36.21982560551367)	(35, 36.27538905543021)	(40, 36.220651616231976)	(45, 36.121042447291494)	(50, 36.24828353826704)	(55, 36.203340542588975)	(60, 36.1238891362063)	(65, 36.17801975559155)	(70, 36.19098216256964)	(75, 36.14150328268717)	(80, 36.140602635346895)	(85, 36.13666201431723)	(90, 36.105781521272526)	(95, 35.998145015104285)	(100, 35.93538726896655)	(105, 35.78385253536994)	(110, 35.934807607253425)	(115, 35.91960061221291)	(120, 35.75042707797384)	(125, 35.87550500703391)	(130, 35.745352991496006)	(135, 35.555246099815164)	(140, 35.47509204982741)	(145, 35.430206259508644)	(150, 35.513219710713265)
SRR15969060_2	(1, 35.44572147972159)	(2, 35.845773051219744)	(3, 36.04108408971129)	(4, 35.909680297641216)	(5, 35.89732576983462)	(6, 35.76431921649845)	(7, 35.91788502926598)	(8, 36.05862754808825)	(9, 36.11402742342102)	(10, 36.0889067588758)	(15, 35.96716484605474)	(20, 35.84275932072969)	(25, 35.780232996272744)	(30, 35.69017399241163)	(35, 35.33355481951541)	(40, 35.81690524303008)	(45, 35.720973300072686)	(50, 36.00567955801637)	(55, 35.726144510464415)	(60, 35.44933008816511)	(65, 35.518237554885005)	(70, 35.84446917351016)	(75, 35.67101886452658)	(80, 35.68876456407277)	(85, 35.86004169538772)	(90, 35.78705357970481)	(95, 35.54106499718186)	(100, 35.40956706666278)	(105, 35.131862735066235)	(110, 35.61274846471265)	(115, 35.52992930948846)	(120, 35.30059971729573)	(125, 35.523316264018135)	(130, 35.23423307379853)	(135, 34.633117665597595)	(140, 34.28691723544989)	(145, 34.92598493255137)	(150, 35.209796562237194)
SRR15969061_1	(1, 36.113403893499836)	(2, 36.11058811707124)	(3, 36.29075118968626)	(4, 36.32474666558925)	(5, 36.29721178047097)	(6, 36.25614915120087)	(7, 36.22569670524115)	(8, 36.352311334950485)	(9, 36.34816692229317)	(10, 36.38447365544863)	(15, 36.36917232437786)	(20, 36.36063465818826)	(25, 36.31311931153334)	(30, 36.2405155833749)	(35, 36.3070683965355)	(40, 36.23861643644742)	(45, 36.13105351788168)	(50, 36.26806046563908)	(55, 36.196277643014874)	(60, 36.10015534425146)	(65, 36.18899360856045)	(70, 36.20706824113945)	(75, 36.162195870505364)	(80, 36.154824399873405)	(85, 36.14695358993365)	(90, 36.12632984054811)	(95, 36.02947241487017)	(100, 35.97075197702625)	(105, 35.81346102744761)	(110, 35.98159644578154)	(115, 35.949639973251166)	(120, 35.78171827628485)	(125, 35.908493999899505)	(130, 35.78186020467732)	(135, 35.61832057272768)	(140, 35.521181465809505)	(145, 35.456985907132214)	(150, 35.58141535758444)
SRR15969061_2	(1, 35.67949435161257)	(2, 36.02441401444458)	(3, 36.17831852149982)	(4, 36.0605762292734)	(5, 35.98727565342744)	(6, 35.81718353982878)	(7, 36.05008052105332)	(8, 36.20691243069984)	(9, 36.22527687691234)	(10, 36.20062386334264)	(15, 36.09592038749559)	(20, 35.963989658910855)	(25, 35.8983948106007)	(30, 35.797510037289875)	(35, 35.42812854982852)	(40, 35.929140022718904)	(45, 35.8203629948134)	(50, 36.12967971320105)	(55, 35.84820359576101)	(60, 35.5581681602817)	(65, 35.635889132170036)	(70, 35.963213662835116)	(75, 35.77568300448939)	(80, 35.811483716306896)	(85, 35.98629816047336)	(90, 35.91441023832056)	(95, 35.67361302550412)	(100, 35.53570731879137)	(105, 35.24810108616659)	(110, 35.732213652993366)	(115, 35.637769165383354)	(120, 35.39234622654361)	(125, 35.64578081594321)	(130, 35.34959682494791)	(135, 34.80949252311905)	(140, 34.38492218024802)	(145, 35.016096440860665)	(150, 35.31334991927175)
SRR15969062_1	(1, 36.127053439854954)	(2, 36.139907718757364)	(3, 36.29827867477626)	(4, 36.33318540512693)	(5, 36.30853414296155)	(6, 36.267167326270055)	(7, 36.24565250815685)	(8, 36.3548664552741)	(9, 36.35210216131596)	(10, 36.379144319357195)	(15, 36.380367048318114)	(20, 36.35531283570884)	(25, 36.32069573846959)	(30, 36.254380338893704)	(35, 36.307544438365355)	(40, 36.23449010195564)	(45, 36.12457189011313)	(50, 36.230209402443265)	(55, 36.12604711205537)	(60, 36.02420612971889)	(65, 36.09776130877027)	(70, 36.11723052439468)	(75, 36.051300703266335)	(80, 36.028396225284844)	(85, 36.02333238819024)	(90, 35.99502192465745)	(95, 35.90631781568113)	(100, 35.854330718881165)	(105, 35.69764269996765)	(110, 35.839347671553455)	(115, 35.801108413237856)	(120, 35.655031788756524)	(125, 35.76507270280308)	(130, 35.648845161599496)	(135, 35.484837342204365)	(140, 35.41129259633471)	(145, 35.34169548687516)	(150, 35.428574138488756)
SRR15969062_2	(1, 35.37488468588635)	(2, 35.78984152546096)	(3, 36.01490247720674)	(4, 35.90050987807654)	(5, 35.87865860233304)	(6, 35.77470417686689)	(7, 35.90371321429855)	(8, 36.08009538623739)	(9, 36.11766956665855)	(10, 36.08122027292005)	(15, 35.96986387942636)	(20, 35.86024443596922)	(25, 35.79548782362831)	(30, 35.69992976322168)	(35, 35.37120132346657)	(40, 35.79867393761257)	(45, 35.69790173240737)	(50, 35.97807863723678)	(55, 35.713404791476144)	(60, 35.44461363282389)	(65, 35.50805436636143)	(70, 35.80942041429216)	(75, 35.654634529139024)	(80, 35.65419109395654)	(85, 35.804619852797295)	(90, 35.7181138005535)	(95, 35.493711187565644)	(100, 35.376236057475346)	(105, 35.079195936150924)	(110, 35.54322726764455)	(115, 35.45496125246103)	(120, 35.22411612480681)	(125, 35.44738761117079)	(130, 35.16841736121372)	(135, 34.60701648941905)	(140, 34.28023106751916)	(145, 34.84819146535784)	(150, 35.11654762522813)
SRR15969063_1	(1, 36.20353499254114)	(2, 36.284291715016145)	(3, 36.46028427474162)	(4, 36.48040421468274)	(5, 36.42951905209782)	(6, 36.42312924217021)	(7, 36.40633527952623)	(8, 36.50932337848167)	(9, 36.51769584267656)	(10, 36.514617676956405)	(15, 36.52125551399619)	(20, 36.52121283802989)	(25, 36.47130868383171)	(30, 36.374005217567955)	(35, 36.4960956609804)	(40, 36.40864613999388)	(45, 36.298301609697575)	(50, 36.45760743553275)	(55, 36.38545789506723)	(60, 36.32045991975086)	(65, 36.39938362325959)	(70, 36.42131120289916)	(75, 36.40514854280704)	(80, 36.391857242426696)	(85, 36.395584169048554)	(90, 36.389193335328834)	(95, 36.31380656417789)	(100, 36.22702401681606)	(105, 36.07356867799609)	(110, 36.28357581490484)	(115, 36.252564289430346)	(120, 36.11337667925481)	(125, 36.235129217383665)	(130, 36.12603845524857)	(135, 35.98501109063228)	(140, 35.872699694020866)	(145, 35.86279078727189)	(150, 36.02288741169456)
SRR15969063_2	(1, 35.88275047680424)	(2, 36.218166598458765)	(3, 36.354285688113585)	(4, 36.277978150659635)	(5, 36.106000472560886)	(6, 35.96110586791842)	(7, 36.258800907726425)	(8, 36.39397056489886)	(9, 36.42034668295394)	(10, 36.411000969638906)	(15, 36.30248568644319)	(20, 36.18965495780764)	(25, 36.12475127913395)	(30, 36.00163219405926)	(35, 35.6015567567451)	(40, 36.12533214645293)	(45, 36.0302906141702)	(50, 36.36036884535916)	(55, 36.0887745774096)	(60, 35.746727030886994)	(65, 35.91708722520274)	(70, 36.21643132469809)	(75, 36.05690759279262)	(80, 36.06753304625843)	(85, 36.23554476921705)	(90, 36.17931778264947)	(95, 35.92891967569499)	(100, 35.81325218074458)	(105, 35.499858204791295)	(110, 36.01957301941352)	(115, 35.93932350510859)	(120, 35.684643468435276)	(125, 35.98642898883555)	(130, 35.67769876317829)	(135, 35.08129405168695)	(140, 34.720682998665566)	(145, 35.44884598421582)	(150, 35.81412596037763)
