Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
SRR15969054_1	(14.0, 3.0)	(15.0, 12.0)	(16.0, 22.0)	(17.0, 42.0)	(18.0, 85.0)	(19.0, 144.0)	(20.0, 196.0)	(21.0, 272.0)	(22.0, 447.0)	(23.0, 715.0)	(24.0, 1187.0)	(25.0, 1949.0)	(26.0, 3375.0)	(27.0, 5851.0)	(28.0, 9395.0)	(29.0, 14491.0)	(30.0, 21002.0)	(31.0, 30256.0)	(32.0, 42370.0)	(33.0, 62606.0)	(34.0, 107813.0)	(35.0, 263223.0)	(36.0, 2479686.0)	(37.0, 518193.0)									
SRR15969054_2	(12.0, 23.0)	(13.0, 59.0)	(14.0, 92.0)	(15.0, 97.0)	(16.0, 113.0)	(17.0, 172.0)	(18.0, 201.0)	(19.0, 326.0)	(20.0, 548.0)	(21.0, 1003.0)	(22.0, 1646.0)	(23.0, 2624.0)	(24.0, 3721.0)	(25.0, 4836.0)	(26.0, 6603.0)	(27.0, 8816.0)	(28.0, 11864.0)	(29.0, 16131.0)	(30.0, 22277.0)	(31.0, 32201.0)	(32.0, 50431.0)	(33.0, 89246.0)	(34.0, 202827.0)	(35.0, 664394.0)	(36.0, 2330439.0)	(37.0, 112645.0)							
SRR15969055_1	(13.0, 2.0)	(14.0, 5.0)	(15.0, 20.0)	(16.0, 47.0)	(17.0, 62.0)	(18.0, 114.0)	(19.0, 167.0)	(20.0, 247.0)	(21.0, 314.0)	(22.0, 444.0)	(23.0, 651.0)	(24.0, 1094.0)	(25.0, 1713.0)	(26.0, 2606.0)	(27.0, 4364.0)	(28.0, 7011.0)	(29.0, 10977.0)	(30.0, 16449.0)	(31.0, 23782.0)	(32.0, 34454.0)	(33.0, 53070.0)	(34.0, 94815.0)	(35.0, 240451.0)	(36.0, 2321038.0)	(37.0, 495410.0)								
SRR15969055_2	(11.0, 2.0)	(12.0, 10.0)	(13.0, 74.0)	(14.0, 107.0)	(15.0, 132.0)	(16.0, 134.0)	(17.0, 206.0)	(18.0, 231.0)	(19.0, 339.0)	(20.0, 518.0)	(21.0, 784.0)	(22.0, 1150.0)	(23.0, 1691.0)	(24.0, 2346.0)	(25.0, 3138.0)	(26.0, 4275.0)	(27.0, 5648.0)	(28.0, 7998.0)	(29.0, 10858.0)	(30.0, 15452.0)	(31.0, 22865.0)	(32.0, 36297.0)	(33.0, 65539.0)	(34.0, 153207.0)	(35.0, 535508.0)	(36.0, 2303178.0)	(37.0, 137620.0)						
SRR15969056_1	(13.0, 1.0)	(14.0, 2.0)	(15.0, 4.0)	(16.0, 17.0)	(17.0, 30.0)	(18.0, 73.0)	(19.0, 120.0)	(20.0, 211.0)	(21.0, 323.0)	(22.0, 497.0)	(23.0, 871.0)	(24.0, 1444.0)	(25.0, 2362.0)	(26.0, 3844.0)	(27.0, 6058.0)	(28.0, 9623.0)	(29.0, 14658.0)	(30.0, 20782.0)	(31.0, 29514.0)	(32.0, 42685.0)	(33.0, 63686.0)	(34.0, 112868.0)	(35.0, 289266.0)	(36.0, 2686032.0)	(37.0, 519444.0)								
SRR15969056_2	(12.0, 18.0)	(13.0, 91.0)	(14.0, 144.0)	(15.0, 143.0)	(16.0, 176.0)	(17.0, 179.0)	(18.0, 253.0)	(19.0, 358.0)	(20.0, 512.0)	(21.0, 808.0)	(22.0, 1197.0)	(23.0, 1841.0)	(24.0, 2518.0)	(25.0, 3229.0)	(26.0, 4493.0)	(27.0, 6174.0)	(28.0, 8407.0)	(29.0, 11671.0)	(30.0, 16861.0)	(31.0, 24894.0)	(32.0, 39223.0)	(33.0, 70830.0)	(34.0, 164731.0)	(35.0, 601153.0)	(36.0, 2677768.0)	(37.0, 166743.0)							
SRR15969057_1	(14.0, 2.0)	(15.0, 10.0)	(16.0, 20.0)	(17.0, 33.0)	(18.0, 75.0)	(19.0, 148.0)	(20.0, 257.0)	(21.0, 396.0)	(22.0, 678.0)	(23.0, 948.0)	(24.0, 1657.0)	(25.0, 2849.0)	(26.0, 4205.0)	(27.0, 6508.0)	(28.0, 10130.0)	(29.0, 14954.0)	(30.0, 21655.0)	(31.0, 30438.0)	(32.0, 44084.0)	(33.0, 65859.0)	(34.0, 116403.0)	(35.0, 292902.0)	(36.0, 2589494.0)	(37.0, 483126.0)									
SRR15969057_2	(11.0, 1.0)	(12.0, 15.0)	(13.0, 82.0)	(14.0, 148.0)	(15.0, 159.0)	(16.0, 157.0)	(17.0, 187.0)	(18.0, 272.0)	(19.0, 399.0)	(20.0, 627.0)	(21.0, 975.0)	(22.0, 1560.0)	(23.0, 2395.0)	(24.0, 3574.0)	(25.0, 4434.0)	(26.0, 6135.0)	(27.0, 8207.0)	(28.0, 11136.0)	(29.0, 15269.0)	(30.0, 21579.0)	(31.0, 31560.0)	(32.0, 50784.0)	(33.0, 93303.0)	(34.0, 222167.0)	(35.0, 750705.0)	(36.0, 2357882.0)	(37.0, 103119.0)						
SRR15969058_1	(14.0, 5.0)	(15.0, 12.0)	(16.0, 23.0)	(17.0, 46.0)	(18.0, 89.0)	(19.0, 169.0)	(20.0, 225.0)	(21.0, 330.0)	(22.0, 448.0)	(23.0, 679.0)	(24.0, 1060.0)	(25.0, 1664.0)	(26.0, 2848.0)	(27.0, 4663.0)	(28.0, 7767.0)	(29.0, 12183.0)	(30.0, 17782.0)	(31.0, 26326.0)	(32.0, 37298.0)	(33.0, 56519.0)	(34.0, 98201.0)	(35.0, 245448.0)	(36.0, 2370888.0)	(37.0, 515269.0)									
SRR15969058_2	(12.0, 15.0)	(13.0, 63.0)	(14.0, 127.0)	(15.0, 154.0)	(16.0, 181.0)	(17.0, 191.0)	(18.0, 250.0)	(19.0, 328.0)	(20.0, 486.0)	(21.0, 770.0)	(22.0, 1356.0)	(23.0, 1905.0)	(24.0, 2718.0)	(25.0, 3719.0)	(26.0, 5049.0)	(27.0, 6588.0)	(28.0, 9110.0)	(29.0, 12596.0)	(30.0, 18009.0)	(31.0, 26107.0)	(32.0, 40779.0)	(33.0, 72524.0)	(34.0, 163347.0)	(35.0, 560968.0)	(36.0, 2341684.0)	(37.0, 130918.0)							
