Sample	Unique Reads	Duplicate Reads
SRR15969054_1	961928.0	2601407.0
SRR15969054_2	947076.0	2616259.0
SRR15969055_1	922454.0	2386853.0
SRR15969055_2	889303.0	2420004.0
SRR15969056_1	876684.0	2927731.0
SRR15969056_2	838346.0	2966069.0
SRR15969057_1	702870.0	2983961.0
SRR15969057_2	699561.0	2987270.0
SRR15969058_1	995340.0	2404602.0
SRR15969058_2	970978.0	2428964.0
SRR15969059_1	217654.0	3597870.0
SRR15969059_2	237625.0	3577899.0
SRR15969060_1	183858.0	3969599.0
SRR15969060_2	242355.0	3911102.0
SRR15969061_1	274694.0	3586408.0
SRR15969061_2	313192.0	3547910.0
SRR15969062_1	283479.0	3722969.0
SRR15969062_2	347454.0	3658994.0
SRR15969063_1	198728.0	3512963.0
SRR15969063_2	206650.0	3505041.0
SRR15969064_1	274564.0	3532354.0
SRR15969064_2	341473.0	3465445.0
SRR15969065_1	788145.0	3232651.0
SRR15969065_2	760459.0	3260337.0
SRR15969066_1	1451293.0	3015645.0
SRR15969066_2	1381411.0	3085527.0
SRR15969067_1	1236112.0	2554989.0
SRR15969067_2	1160924.0	2630177.0
SRR15969068_1	1428249.0	3079903.0
SRR15969068_2	1310491.0	3197661.0
SRR15969069_1	1555260.0	2507521.0
SRR15969069_2	1525945.0	2536836.0
SRR15969070_1	1440796.0	2936073.0
SRR15969070_2	1342632.0	3034237.0
SRR15969071_1	1281615.0	2600394.0
SRR15969071_2	1209669.0	2672340.0
