Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR15969054_1	(1.0, 18.010535736210795)	(2.0, 8.488370711712424)	(3.0, 5.1616636182308016)	(4.0, 3.338816660347236)	(5.0, 2.549066054495118)	(6.0, 1.9103495654791094)	(7.0, 1.6009653312585206)	(8.0, 1.331405855306078)	(9.0, 1.1605819010473386)	('>10', 13.627446165588525)	('>50', 3.9895469802787935)	('>100', 6.231124051725266)	('>500', 1.8707961802814885)	('>1k', 8.442704909963817)	('>5k', 4.48540646043729)	('>10k+', 17.801219817637428)
SRR15969054_2	(1.0, 17.53783172455261)	(2.0, 8.265361031524241)	(3.0, 5.312433782740589)	(4.0, 3.4750381202734624)	(5.0, 2.582985816693486)	(6.0, 2.022542717813557)	(7.0, 1.7176612022746962)	(8.0, 1.4267580746748438)	(9.0, 1.1977624365910031)	('>10', 14.152244223372756)	('>50', 4.116360062709232)	('>100', 5.8206542904047165)	('>500', 1.91204011718096)	('>1k', 8.127548475537584)	('>5k', 5.414562629966819)	('>10k+', 16.918215293689446)
SRR15969055_1	(1.0, 18.617134419004643)	(2.0, 8.848874053053864)	(3.0, 5.243785171426767)	(4.0, 3.5376238743851007)	(5.0, 2.5079565629068448)	(6.0, 1.9855460885480538)	(7.0, 1.6103936251600293)	(8.0, 1.318579174140822)	(9.0, 1.146062924839596)	('>10', 13.784969251586816)	('>50', 4.176990813310523)	('>100', 6.078870700248256)	('>500', 1.9699678536521035)	('>1k', 8.482848923865822)	('>5k', 5.501661230935782)	('>10k+', 15.188735332934975)
SRR15969055_2	(1.0, 17.54939121400599)	(2.0, 8.62044147471115)	(3.0, 5.319918787057771)	(4.0, 3.6606799963937453)	(5.0, 2.590704514620153)	(6.0, 2.1869598817051172)	(7.0, 1.7176593469514094)	(8.0, 1.4404435427848898)	(9.0, 1.243648590658375)	('>10', 14.481318793902728)	('>50', 4.172563568845207)	('>100', 5.839265977761109)	('>500', 2.0085717750462577)	('>1k', 7.825689508916348)	('>5k', 4.555804671647513)	('>10k+', 16.786938354992238)
SRR15969056_1	(1.0, 15.543834029742737)	(2.0, 7.560367423687044)	(3.0, 4.20708279923967)	(4.0, 2.6995061651577617)	(5.0, 1.8533543075983718)	(6.0, 1.4617686750666403)	(7.0, 1.1564898856608778)	(8.0, 0.9788945578829098)	(9.0, 0.8466255307664492)	('>10', 10.440986752387207)	('>50', 3.7028780086062465)	('>100', 6.151951803223903)	('>500', 2.288140840315261)	('>1k', 8.49275110642295)	('>5k', 6.26916700027421)	('>10k+', 26.346201113967766)
SRR15969056_2	(1.0, 14.63474976913508)	(2.0, 7.283759499635611)	(3.0, 4.234587385607766)	(4.0, 2.6710475062431094)	(5.0, 1.8944810452477467)	(6.0, 1.4478193555946417)	(7.0, 1.1748446760019275)	(8.0, 0.9767654856557584)	(9.0, 0.8388381284942077)	('>10', 11.10212814501314)	('>50', 3.9897248845514084)	('>100', 5.7630052559603975)	('>500', 1.947366639368276)	('>1k', 9.431533658866915)	('>5k', 4.586385329368968)	('>10k+', 28.022963235255038)
SRR15969057_1	(1.0, 12.260458783706857)	(2.0, 6.391675894454106)	(3.0, 3.8974424347662016)	(4.0, 2.644314359430789)	(5.0, 1.884955930493368)	(6.0, 1.4002065337384533)	(7.0, 1.165020019537875)	(8.0, 0.9745800677432975)	(9.0, 0.8149671335504279)	('>10', 10.609035855659448)	('>50', 3.7238381746832965)	('>100', 6.27234068257739)	('>500', 2.2966286089301855)	('>1k', 8.613807085991217)	('>5k', 7.425959142541336)	('>10k+', 29.62476929219577)
SRR15969057_2	(1.0, 12.33426091672009)	(2.0, 6.091515318878607)	(3.0, 3.8308840266381115)	(4.0, 2.5970403453656945)	(5.0, 1.857072110613306)	(6.0, 1.4535955967647836)	(7.0, 1.106235500762957)	(8.0, 0.9824273932981175)	(9.0, 0.8292748531735876)	('>10', 11.237981086368434)	('>50', 3.996468090388097)	('>100', 6.117527705321621)	('>500', 1.681291183910244)	('>1k', 9.037102651335031)	('>5k', 4.894649701569963)	('>10k+', 31.952673518891395)
SRR15969058_1	(1.0, 19.84875718098585)	(2.0, 9.032820265619801)	(3.0, 5.266001998667146)	(4.0, 3.5595286360917995)	(5.0, 2.630724385257218)	(6.0, 2.060184956527293)	(7.0, 1.6773699709805003)	(8.0, 1.3898049525889378)	(9.0, 1.1984251399794004)	('>10', 13.840683254315014)	('>50', 4.092650651362691)	('>100', 6.492553329758513)	('>500', 2.170445758054777)	('>1k', 8.233102283219248)	('>5k', 4.946017297139894)	('>10k+', 13.56092993945199)
SRR15969058_2	(1.0, 19.02670751873494)	(2.0, 8.895301472331282)	(3.0, 5.425255576069884)	(4.0, 3.7594495393333114)	(5.0, 2.6707703733448724)	(6.0, 2.156086472780242)	(7.0, 1.6871397686393033)	(8.0, 1.4469596539193577)	(9.0, 1.2095860068348157)	('>10', 14.5720162774234)	('>50', 4.315009609752762)	('>100', 6.0897504233218465)	('>500', 2.211223478780111)	('>1k', 7.279337510471034)	('>5k', 4.218037453562594)	('>10k+', 15.037368864700218)
