Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR15969054_1	SRR15969054_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3563335.0	0.0	150.0	61.0	26.995140257516955	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
SRR15969054_2	SRR15969054_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3563335.0	0.0	150.0	60.0	26.578337207294066	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
SRR15969055_1	SRR15969055_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3309307.0	0.0	150.0	61.0	27.874534752676645	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
SRR15969055_2	SRR15969055_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3309307.0	0.0	150.0	60.0	26.872779078808733	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
SRR15969056_1	SRR15969056_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3804415.0	0.0	150.0	61.0	23.04383316058098	150.0	150	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR15969056_2	SRR15969056_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3804415.0	0.0	150.0	60.0	22.036112917888666	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
SRR15969057_1	SRR15969057_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3686831.0	0.0	150.0	61.0	19.06433865699562	150.0	150	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR15969057_2	SRR15969057_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3686831.0	0.0	150.0	60.0	18.974583330628985	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
SRR15969058_1	SRR15969058_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3399942.0	0.0	150.0	61.0	29.275197151451003	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
SRR15969058_2	SRR15969058_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3399942.0	0.0	150.0	60.0	28.558653963074697	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
