Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR15969054_1	73.00485974248305	61.0	150.0	150	30.0	3.563335
SRR15969054_2	73.42166279270593	60.0	150.0	150	30.0	3.563335
SRR15969055_1	72.12546524732335	61.0	150.0	150	30.0	3.309307
SRR15969055_2	73.12722092119127	60.0	150.0	150	30.0	3.309307
SRR15969056_1	76.95616683941901	61.0	150.0	150	40.0	3.8044149999999997
SRR15969056_2	77.96388708211134	60.0	150.0	150	30.0	3.8044149999999997
SRR15969057_1	80.93566134300438	61.0	150.0	150	40.0	3.6868309999999997
SRR15969057_2	81.02541666937101	60.0	150.0	150	30.0	3.6868309999999997
SRR15969058_1	70.72480284854899	61.0	150.0	150	30.0	3.399942
SRR15969058_2	71.4413460369253	60.0	150.0	150	30.0	3.399942
SRR15969059_1	94.29559138320319	62.0	150.0	150	40.0	3.815524
SRR15969059_2	93.7721551651583	61.0	150.0	150	40.0	3.815524
SRR15969060_1	95.57338925059163	63.0	150.0	150	40.0	4.1534569999999995
SRR15969060_2	94.1649816407951	62.0	150.0	150	40.0	4.1534569999999995
SRR15969061_1	92.88561605259004	62.0	150.0	150	40.0	3.861102
SRR15969061_2	91.8885373221507	61.0	150.0	150	40.0	3.861102
SRR15969062_1	92.92444690387832	62.0	150.0	150	40.0	4.006448
SRR15969062_2	91.32763133805334	61.0	150.0	150	40.0	4.006448
SRR15969063_1	94.64589935625641	63.0	150.0	150	40.0	3.7116909999999996
SRR15969063_2	94.43246111952814	62.0	150.0	150	40.0	3.7116909999999996
SRR15969064_1	92.78776787969731	62.0	150.0	150	40.0	3.806918
SRR15969064_2	91.03019884321286	62.0	150.0	150	40.0	3.806918
SRR15969065_1	80.39829436305105	61.0	150.0	150	40.0	4.020796
SRR15969065_2	81.08686543951225	61.0	150.0	150	30.0	4.020796
SRR15969066_1	67.51035686090258	59.0	150.0	150	20.0	4.466938
SRR15969066_2	69.07478211720863	59.0	150.0	150	30.0	4.466938
SRR15969067_1	67.39438961904025	60.0	150.0	150	10.0	3.791101
SRR15969067_2	69.37767206782699	59.0	150.0	150	20.0	3.791101
SRR15969068_1	68.31854267422047	60.0	150.0	150	20.0	4.508152
SRR15969068_2	70.93065591233085	59.0	150.0	150	30.0	4.508152
SRR15969069_1	61.71933822375337	57.0	150.0	150	20.0	4.062781
SRR15969069_2	62.440888903472555	57.0	150.0	150	30.0	4.062781
SRR15969070_1	67.08158877782267	60.0	150.0	150	10.0	4.376869
SRR15969070_2	69.32438320305258	59.0	150.0	150	30.0	4.376869
SRR15969071_1	66.98578508378519	60.0	150.0	150	10.0	3.882009
SRR15969071_2	68.8391152404195	59.0	150.0	150	30.0	3.882009
