Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atu0031	ATU_RS00150	Atu0031	24.4656431197394	-1.27675290309713	0.383597354458971	-3.32836733167221	0.000873566006579833	0.0177899569126852
nrdH	ATU_RS00325	Atu0068	191.458632343354	-2.03712189048297	0.32698375936328	-6.23003997033296	4.66316185008402e-10	1.65508937379053e-07
nrdI	ATU_RS00330	Atu0069	75.8757557167052	-2.38755443218252	0.343987850780244	-6.94081034189723	3.89857119938149e-12	3.87440005794532e-09
rpmF	ATU_RS00540	Atu0112	120.515806958327	-1.70151976212771	0.531743375729805	-3.19988896860711	0.00137480538716042	0.0241392507731453
phnE	ATU_RS00815	Atu0171	42.651862561032	-3.33008607478506	0.804627566947826	-4.13866764149903	3.49328572851548e-05	0.00183207134700728
phnE	ATU_RS00820	Atu0172	27.9158413875859	-3.59277467736545	0.92652322177144	-3.87769522980369	0.000105450700082575	0.00415860737071679
phnD	ATU_RS00825	Atu0173	322.664712081532	-6.58914390173683	0.923094892286662	-7.13810027202556	9.46295940882422e-13	1.56738151008158e-09
phnC	ATU_RS00830	Atu0174	61.0088427765228	-4.11402077896759	0.951879163801417	-4.32199898413352	1.54621901044121e-05	0.000986193752325388
phnJ	ATU_RS00850	Atu0178	20.00822890729	-1.51652793383683	0.478831102271149	-3.1671458404514	0.0015394309391992	0.0254981077896027
phnI	ATU_RS00855	Atu0179	283.852961389977	-1.322302070429	0.459609720755375	-2.87701066952148	0.0040146202085824	0.0476101379867445
Atu0204	ATU_RS00975	Atu0204	36.0816311300055	-1.69398848400391	0.488461326011487	-3.468009428374	0.000524328892117211	0.0122895767213699
ctpB	ATU_RS01070	Atu0223	47.4054061554018	-1.77903307360676	0.604455321176206	-2.94320028508468	0.00324838188424994	0.0411765550582601
ctpA	ATU_RS01075	Atu0224	448.532571742884	-2.73726241195783	0.84521294478038	-3.2385476687997	0.00120139942715509	0.0219476240938737
Atu0252	ATU_RS01205	Atu0252	85.2613660236006	-1.29240346948362	0.240885081034305	-5.36522836505414	8.08468650489723e-08	1.06685122519838e-05
ugpA	ATU_RS01460	Atu0305	326.188777644801	-5.90906802136716	0.966324813244792	-6.11499150221061	9.6562109027913e-10	2.66565066533167e-07
ugpA	ATU_RS01465	Atu0306	29.5352625685615	-3.81140146271303	0.739700448832121	-5.15262829531965	2.56860773834164e-07	2.8363137448488e-05
ugpE	ATU_RS01470	Atu0307	30.6947497915979	-4.14554197274119	0.75219664560807	-5.51124761981618	3.56299046576676e-08	5.53265613262345e-06
ugpC	ATU_RS01475	Atu0308	89.8810128055505	-3.69814855691771	0.801804780863865	-4.61228050166191	3.98275029099928e-06	0.000299852821151143
Atu0394	ATU_RS01895	Atu0394	48.2522896870363	-2.97563099337358	0.719089597311234	-4.13805317793475	3.50265200172452e-05	0.00183207134700728
Atu8120	ATU_RS01985	Atu8120	784.449230150626	-1.41501554105145	0.419569490853271	-3.37254155008688	0.000744778481546012	0.0158154028837698
pstC	ATU_RS02025	Atu0421	182.088158865791	-2.15323957819363	0.674002467206256	-3.19470578070555	0.0013997345742961	0.0244044950865871
pstA	ATU_RS02030	Atu0422	163.012281986959	-2.23970734527761	0.628803409028627	-3.56185623856191	0.000368242017940063	0.00994453579969659
pstB	ATU_RS02035	Atu0423	277.039182289927	-1.92141888487977	0.58616597414687	-3.27794339764652	0.00104566361168829	0.0195334679942823
phoU	ATU_RS02040	Atu0424	117.459811056024	-2.27647162091792	0.635549095238668	-3.58189735139664	0.000341107827329565	0.00952227412359893
phoB	ATU_RS02045	Atu0425	104.5509830855	-1.94721793623454	0.665064628396108	-2.92786272656014	0.00341300695703027	0.0425043397731414
Atu0470	ATU_RS02310	Atu0470	17.6019668083617	-1.3814598428077	0.453294993317009	-3.04759563457518	0.0023068011029346	0.0326122171551109
Atu0491	ATU_RS02420	Atu0491	16.5482994350978	-1.24389753212774	0.427833740479128	-2.90743205698248	0.00364409496221955	0.043843844714937
Atu0492	ATU_RS02425	Atu0492	56.5370609149762	-3.36617840461088	0.724902711979195	-4.64362782616751	3.42344018846814e-06	0.000265798035882784
Atu0493	ATU_RS02430	Atu0493	69.5862534374192	-2.83086487191027	0.70413172059903	-4.02036265246218	5.81086198152877e-05	0.0026735345542793
Atu0652	ATU_RS03200	Atu0652	95.8960282277102	-1.66622903412644	0.531947095204958	-3.13232095662528	0.00173430170282731	0.0275327321448847
Atu0653	ATU_RS03205	Atu0653	108.919108818838	-1.25951593580745	0.397435613785935	-3.16910687446809	0.00152908157632632	0.0254981077896027
Atu0668	ATU_RS03280	Atu0668	13.4003577325701	-2.15741201482945	0.638133329403274	-3.38081701021145	0.000722706551862607	0.0155059542653444
Atu8085	ATU_RS03295	Atu8085	25.6181982316592	-1.22421955295084	0.261943190408463	-4.67360709412544	2.95955268036271e-06	0.000233428845535275
rnhB	ATU_RS03550	Atu0720	644.416263309605	-1.80273855139336	0.504293863954586	-3.57477788299186	0.000350525348096733	0.00957011238842124
gpmB	ATU_RS03730	Atu0756	21.5276804166752	-1.34896538827085	0.400962755810251	-3.36431593389494	0.000767336491471901	0.0162250852175484
Atu0826	ATU_RS04060	Atu0826	128.043037878022	-1.19290624067834	0.292424851513281	-4.0793599945597	4.51598577194722e-05	0.00215768589430824
Atu0837	ATU_RS04120	Atu0837	95.4262973725282	-1.19308996147506	0.355912471535622	-3.35220048998942	0.000801719368176062	0.0167483163038834
Atu0850	ATU_RS04185	Atu0850	157.330839180599	-1.3444799786492	0.380332243691812	-3.535014453675	0.000407752854258835	0.01055272881673
Atu0863	ATU_RS04250	Atu0863	91.1803986415651	-1.02347693824767	0.326131045039257	-3.13823830578434	0.001699666305704	0.0272440060420748
Atu0883	ATU_RS04345	Atu0883	91.1392225828192	-2.40413101480904	0.694401559781671	-3.46216246340939	0.000535853585868303	0.0123844486892074
Atu0884	ATU_RS04350	Atu0884	267.943495348073	-1.33759939128544	0.403724923754009	-3.31314544281254	0.000922529926022723	0.0185368163750893
Atu0885	ATU_RS04355	Atu0885	13.6494913520896	-1.62803788244362	0.551323708552594	-2.9529618574136	0.0031474085011908	0.0403554144936089
Atu0924	ATU_RS04560	Atu0924	96.1369213599911	-1.41345472555549	0.328562197749135	-4.30193958781191	1.693094787847e-05	0.00103864049392738
Atu0934	ATU_RS04610	Atu0934	16.6189500713069	-1.28941901754565	0.433365736994853	-2.97535985767366	0.00292645029790418	0.0382671882375944
Atu0947	ATU_RS04675	Atu0947	77.6967013006325	-1.31784861507827	0.458432387577195	-2.87468479712585	0.00404431021975505	0.0477632960452901
