Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atu1416	ATU_RS06990	Atu1416	171.345541629079	2.00544777581668	0.456516084842546	4.39294001329299	1.11827990950695e-05	0.00644372487742311
mtbA	ATU_RS12145	Atu2492	72.6446986075165	1.16187185499925	0.309474574766303	3.75433702712614	0.000173800882468588	0.0332293917981288
Atu3557	ATU_RS16485	Atu3557	19.4440189219914	2.32768143687962	0.611736492611947	3.80503936742609	0.000141781638910762	0.0293665219593915
Atu4237	ATU_RS19810	Atu4237	62.6493008673373	2.00879363599319	0.485092002531304	4.14105700673463	3.45709019749083e-05	0.0132193810551746
Atu4238	ATU_RS19815	Atu4238	22.1273914336726	2.43059680675952	0.604166490072324	4.02305795951801	5.744735192435e-05	0.0176906764715025
Atu4766	ATU_RS22370	Atu4766	837.331577419468	1.70413862949797	0.460707298993731	3.69896164705903	0.000216483307210889	0.0371082248325975
hyuA	ATU_RS23110	Atu6022	56.740199587423	2.80484702169163	0.587183477951741	4.77678123961477	1.78123368918766e-06	0.00277107919128594
hyuB	ATU_RS23115	Atu6023	92.3172504683469	1.42530623579554	0.355362172785448	4.01085524838928	6.04991953360576e-05	0.0176906764715025
Atu6111	ATU_RS23540	Atu6111	58.590352744001	1.86313950420221	0.415486536503826	4.48423556604235	7.31757885426112e-06	0.0054161609848257
galE	ATU_RS26095	Atu5463	11.4180694230828	2.19810534126174	0.560235862755372	3.92353558098001	8.72588711825941e-05	0.0240979915915931
